molecule_chembl_id,molecule_name,canonical_smiles,target_chembl_id,target_name,action_type,mechanism_of_action,max_phase
CHEMBL4297630,COTADUTIDE,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1c[nH]cn1)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)NCC(=O)NCC(=O)O)C(C)C)C(=O)O,CHEMBL1784,Glucagon-like peptide 1 receptor,AGONIST,Glucagon-like peptide 1 receptor agonist,2
CHEMBL4297483,NAVAFENTEROL,CN(CCCn1nnc2cc(CNC[C@H](O)c3ccc(O)c4[nH]c(=O)ccc34)ccc21)[C@H]1CC[C@H](OC(=O)C(O)(c2cccs2)c2cccs2)CC1,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,2
CHEMBL4297477,BREPOCITINIB,Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,3
CHEMBL4541964,ZATOLMILAST,O=C(O)Cc1ccc(Cc2cc(-c3cccc(Cl)c3)nc(C(F)(F)F)c2)cc1,CHEMBL288,"3',5'-cyclic-AMP phosphodiesterase 4D",INHIBITOR,Phosphodiesterase 4D inhibitor,3
CHEMBL4297460,DOVRAMILAST,CCOc1cc([C@@H](CS(C)(=O)=O)N2Cc3cccc(NC(=O)C4CC4)c3C2=O)ccc1OC,CHEMBL2093863,Phosphodiesterase 4,INHIBITOR,Phosphodiesterase 4 inhibitor,2
CHEMBL3113974,TRANIMILAST,CS(=O)(=O)Nc1ccc(C(=O)O[C@@H](Cc2c(Cl)c[n+]([O-])cc2Cl)c2ccc(OC(F)F)c(OCC3CC3)c2)cc1OCC1CC1,CHEMBL2093863,Phosphodiesterase 4,INHIBITOR,Phosphodiesterase 4 inhibitor,2
CHEMBL570015,GSK-256066,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,CHEMBL2093863,Phosphodiesterase 4,INHIBITOR,Phosphodiesterase 4 inhibitor,2
CHEMBL4297287,HT-0712,COc1ccc([C@H]2CNC(=O)[C@H](Cc3cccc(C)c3)C2)cc1OC1CCCC1,CHEMBL2093863,Phosphodiesterase 4,INHIBITOR,Phosphodiesterase 4 inhibitor,2
CHEMBL3989967,LOTAMILAST,CNc1nc(-c2cccc(NC(=O)c3ccc(C(=O)OC)cc3)c2)c2cc(OC)c(OC)cc2n1,CHEMBL2093863,Phosphodiesterase 4,INHIBITOR,Phosphodiesterase 4 inhibitor,2
CHEMBL485629,MK-0873,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3ccc[n+]([O-])c3)c2)c2ncccc2c1=O,CHEMBL2093863,Phosphodiesterase 4,INHIBITOR,Phosphodiesterase 4 inhibitor,2
